Faculty,Department,Rank,Year,Total,Foreign,Foreign %
ETH OVERALL,,Full Prof,2006,307.8,193.5,62.9
ETH OVERALL,,Full Prof,2007,309.3,200.4,64.8
ETH OVERALL,,Full Prof,2008,312.5,204.4,65.4
ETH OVERALL,,Full Prof,2009,322.3,214.3,66.5
ETH OVERALL,,Full Prof,2010,342.5,229.5,67.0
ETH OVERALL,,Full Prof,2011,349.0,243.5,69.8
ETH OVERALL,,Full Prof,2012,361.4,247.1,68.4
ETH OVERALL,,Full Prof,2013,383.9,259.7,67.6
ETH OVERALL,,Full Prof,2014,382.2,257.3,67.3
ETH OVERALL,,Full Prof,2015,386.9,260.8,67.4
ETH OVERALL,,Full Prof,2016,386.5,258.0,66.8
ETH OVERALL,,Full Prof,2017,403.4,266.9,66.2
ETH OVERALL,,Full Prof,2018,397.4,256.9,64.6
ETH OVERALL,,Full Prof,2019,398.5,255.9,64.2
ETH OVERALL,,Full Prof,2020,407.7,263.4,64.6
ETH OVERALL,,Full Prof,2021,410.4,264.1,64.4
ETH OVERALL,,Full Prof,2022,410.1,264.3,64.4
ETH OVERALL,,Full Prof,2023,411.3,260.3,63.3
ETH OVERALL,,Full Prof,2024,417.3,258.3,61.9
ETH OVERALL,,Full Prof,2025,411.1,253.9,61.8
ETH OVERALL,,Assistant Prof,2006,49.7,25.7,51.7
ETH OVERALL,,Assistant Prof,2007,54.3,28.3,52.1
ETH OVERALL,,Assistant Prof,2008,54.1,32.1,59.3
ETH OVERALL,,Assistant Prof,2009,61.2,38.2,62.4
ETH OVERALL,,Assistant Prof,2010,64.5,43.7,67.8
ETH OVERALL,,Assistant Prof,2011,74.4,57.3,77.0
ETH OVERALL,,Assistant Prof,2012,80.1,61.3,76.5
ETH OVERALL,,Assistant Prof,2013,77.3,62.0,80.2
ETH OVERALL,,Assistant Prof,2014,75.6,58.3,77.1
ETH OVERALL,,Assistant Prof,2015,80.5,65.0,80.7
ETH OVERALL,,Assistant Prof,2016,90.0,71.0,78.9
ETH OVERALL,,Assistant Prof,2017,92.5,71.3,77.1
ETH OVERALL,,Assistant Prof,2018,89.9,71.7,79.8
ETH OVERALL,,Assistant Prof,2019,101.3,78.3,77.3
ETH OVERALL,,Assistant Prof,2020,109.9,86.7,78.9
ETH OVERALL,,Assistant Prof,2021,108.4,90.0,83.0
ETH OVERALL,,Assistant Prof,2022,106.4,87.2,82.0
ETH OVERALL,,Assistant Prof,2023,102.1,85.9,84.1
ETH OVERALL,,Assistant Prof,2024,103.7,84.6,81.6
ETH OVERALL,,Assistant Prof,2025,97.8,79.6,81.4
Architektur und Bauwissenschaften,Architektur,Full Prof,2006,25.8,10.8,41.9
Architektur und Bauwissenschaften,Architektur,Full Prof,2007,24.8,11.8,47.6
Architektur und Bauwissenschaften,Architektur,Full Prof,2008,26.3,12.8,48.7
Architektur und Bauwissenschaften,Architektur,Full Prof,2009,26.3,12.8,48.7
Architektur und Bauwissenschaften,Architektur,Full Prof,2010,27.0,13.3,49.3
Architektur und Bauwissenschaften,Architektur,Full Prof,2011,29.5,13.8,46.8
Architektur und Bauwissenschaften,Architektur,Full Prof,2012,30.0,13.3,44.3
Architektur und Bauwissenschaften,Architektur,Full Prof,2013,30.0,13.3,44.3
Architektur und Bauwissenschaften,Architektur,Full Prof,2014,30.1,14.5,48.2
Architektur und Bauwissenschaften,Architektur,Full Prof,2015,28.4,14.5,51.1
Architektur und Bauwissenschaften,Architektur,Full Prof,2016,27.4,13.5,49.3
Architektur und Bauwissenschaften,Architektur,Full Prof,2017,30.9,17.0,55.0
Architektur und Bauwissenschaften,Architektur,Full Prof,2018,31.9,16.0,50.2
Architektur und Bauwissenschaften,Architektur,Full Prof,2019,31.7,17.2,54.3
Architektur und Bauwissenschaften,Architektur,Full Prof,2020,33.0,17.5,53.0
Architektur und Bauwissenschaften,Architektur,Full Prof,2021,33.5,17.5,52.2
Architektur und Bauwissenschaften,Architektur,Full Prof,2022,32.1,16.2,50.5
Architektur und Bauwissenschaften,Architektur,Full Prof,2023,30.8,16.8,54.5
Architektur und Bauwissenschaften,Architektur,Full Prof,2024,33.0,17.6,53.3
Architektur und Bauwissenschaften,Architektur,Full Prof,2025,32.0,17.6,55.0
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2006,3.2,,
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2007,3.2,,
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2008,2.2,,
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2009,4.2,1.0,23.8
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2010,5.0,3.0,60.0
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2011,5.0,4.0,80.0
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2012,7.0,6.0,85.7
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2013,7.0,6.0,85.7
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2014,4.0,3.0,75.0
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2015,4.0,3.0,75.0
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2016,4.0,4.0,100.0
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2017,3.0,3.0,100.0
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2018,2.0,2.0,100.0
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2019,2.0,2.0,100.0
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2020,1.0,1.0,100.0
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2021,,,
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2022,,,
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2023,,,
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2024,,,
Architektur und Bauwissenschaften,Architektur,Assistant Prof,2025,,,
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2006,25.0,15.0,60.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2007,25.0,15.0,60.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2008,22.6,14.0,61.9
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2009,24.0,14.0,58.3
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2010,25.8,14.0,54.3
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2011,26.8,17.0,63.4
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2012,30.8,20.0,64.9
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2013,29.8,18.0,60.4
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2014,27.8,16.0,57.6
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2015,27.8,16.0,57.6
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2016,28.8,18.0,62.5
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2017,29.8,18.0,60.4
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2018,28.4,17.6,62.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2019,27.4,16.6,60.6
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2020,27.4,16.6,60.6
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2021,26.4,16.5,62.5
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2022,25.6,16.0,62.5
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2023,28.2,17.6,62.4
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2024,30.4,18.6,61.2
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Full Prof,2025,30.4,18.6,61.2
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2006,2.7,1.7,63.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2007,2.0,1.0,50.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2008,2.0,1.0,50.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2009,2.0,1.0,50.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2010,4.0,4.0,100.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2011,4.0,4.0,100.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2012,3.0,3.0,100.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2013,4.0,4.0,100.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2014,3.3,3.3,100.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2015,4.0,4.0,100.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2016,4.0,3.0,75.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2017,5.0,3.0,60.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2018,7.0,5.0,71.4
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2019,9.0,5.0,55.6
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2020,10.0,6.0,60.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2021,10.0,6.0,60.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2022,8.0,4.0,50.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2023,6.0,3.0,50.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2024,5.0,3.0,60.0
Architektur und Bauwissenschaften,"Bau,Umw.u.Geomatik",Assistant Prof,2025,3.0,2.0,66.7
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2006,26.0,14.0,53.8
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2007,26.0,16.0,61.5
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2008,26.0,16.0,61.5
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2009,26.0,16.0,61.5
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2010,26.0,15.0,57.7
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2011,26.0,16.0,61.5
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2012,27.0,17.0,63.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2013,28.0,18.0,64.3
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2014,27.0,17.0,63.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2015,29.0,18.0,62.1
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2016,28.6,16.6,58.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2017,29.8,17.8,59.7
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2018,29.4,16.4,55.8
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2019,28.4,15.4,54.2
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2020,33.3,20.9,62.8
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2021,34.4,23.0,66.9
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2022,33.8,24.0,71.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2023,33.4,24.0,71.9
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2024,31.5,23.0,73.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Full Prof,2025,29.8,21.5,72.1
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2006,0.0,,
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2007,,,
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2008,,,
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2009,2.0,2.0,100.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2010,3.0,3.0,100.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2011,3.0,3.0,100.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2012,4.0,3.0,75.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2013,5.0,4.0,80.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2014,5.3,4.3,81.1
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2015,7.0,5.0,71.4
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2016,7.0,5.0,71.4
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2017,7.2,6.0,83.3
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2018,5.2,4.2,80.8
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2019,8.0,6.0,75.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2020,10.0,8.0,80.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2021,9.0,8.0,88.9
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2022,7.8,6.8,87.2
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2023,5.1,5.1,100.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2024,4.8,4.8,100.0
Ingenieurwissenschaften,Masch.u.Verf.tech.,Assistant Prof,2025,4.8,4.8,100.0
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2006,21.2,16.5,77.8
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2007,20.5,15.5,75.6
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2008,21.5,16.5,76.7
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2009,21.5,16.5,76.7
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2010,21.7,14.7,67.7
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2011,18.7,14.7,78.6
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2012,19.7,14.7,74.6
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2013,22.2,15.2,68.5
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2014,25.5,17.5,68.6
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2015,28.7,20.7,72.1
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2016,27.7,19.7,71.1
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2017,27.6,18.6,67.4
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2018,26.4,17.4,65.9
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2019,27.4,18.4,67.2
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2020,29.6,17.6,59.5
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2021,29.1,17.1,58.8
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2022,28.6,16.6,58.0
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2023,27.6,15.6,56.5
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2024,27.9,14.9,53.4
Ingenieurwissenschaften,Inf.techno.u.Elek.,Full Prof,2025,27.1,14.9,55.0
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2006,3.0,3.0,100.0
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2007,2.3,2.3,100.0
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2008,3.3,1.3,39.4
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2009,4.0,2.0,50.0
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2010,5.0,3.0,60.0
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2011,5.3,3.0,56.6
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2012,5.0,3.0,60.0
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2013,3.5,3.0,85.7
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2014,5.0,2.5,50.0
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2015,4.0,4.0,100.0
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2016,6.0,6.0,100.0
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2017,6.0,6.0,100.0
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2018,7.0,7.0,100.0
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2019,6.0,5.0,83.3
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2020,6.4,6.2,96.9
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2021,6.2,6.0,96.8
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2022,7.0,6.0,85.7
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2023,7.0,6.0,85.7
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2024,7.0,5.0,71.4
Ingenieurwissenschaften,Inf.techno.u.Elek.,Assistant Prof,2025,7.0,6.0,85.7
Ingenieurwissenschaften,Informatik,Full Prof,2006,17.0,14.0,82.4
Ingenieurwissenschaften,Informatik,Full Prof,2007,18.8,15.8,84.0
Ingenieurwissenschaften,Informatik,Full Prof,2008,19.8,15.8,79.8
Ingenieurwissenschaften,Informatik,Full Prof,2009,18.9,16.0,84.7
Ingenieurwissenschaften,Informatik,Full Prof,2010,19.8,15.9,80.3
Ingenieurwissenschaften,Informatik,Full Prof,2011,20.8,17.9,86.1
Ingenieurwissenschaften,Informatik,Full Prof,2012,21.9,18.0,82.2
Ingenieurwissenschaften,Informatik,Full Prof,2013,21.9,17.0,77.6
Ingenieurwissenschaften,Informatik,Full Prof,2014,20.0,16.1,80.5
Ingenieurwissenschaften,Informatik,Full Prof,2015,22.0,18.1,82.3
Ingenieurwissenschaften,Informatik,Full Prof,2016,21.1,17.2,81.5
Ingenieurwissenschaften,Informatik,Full Prof,2017,23.0,18.1,78.7
Ingenieurwissenschaften,Informatik,Full Prof,2018,23.6,16.7,70.8
Ingenieurwissenschaften,Informatik,Full Prof,2019,23.4,17.5,74.8
Ingenieurwissenschaften,Informatik,Full Prof,2020,23.9,18.0,75.3
Ingenieurwissenschaften,Informatik,Full Prof,2021,23.9,18.0,75.3
Ingenieurwissenschaften,Informatik,Full Prof,2022,25.6,18.7,73.0
Ingenieurwissenschaften,Informatik,Full Prof,2023,26.4,17.5,66.3
Ingenieurwissenschaften,Informatik,Full Prof,2024,23.4,14.5,62.0
Ingenieurwissenschaften,Informatik,Full Prof,2025,24.5,16.6,67.8
Ingenieurwissenschaften,Informatik,Assistant Prof,2006,7.0,5.0,71.4
Ingenieurwissenschaften,Informatik,Assistant Prof,2007,7.0,5.0,71.4
Ingenieurwissenschaften,Informatik,Assistant Prof,2008,5.0,3.0,60.0
Ingenieurwissenschaften,Informatik,Assistant Prof,2009,5.0,2.0,40.0
Ingenieurwissenschaften,Informatik,Assistant Prof,2010,5.0,2.0,40.0
Ingenieurwissenschaften,Informatik,Assistant Prof,2011,5.0,3.0,60.0
Ingenieurwissenschaften,Informatik,Assistant Prof,2012,6.0,5.0,83.3
Ingenieurwissenschaften,Informatik,Assistant Prof,2013,6.0,5.0,83.3
Ingenieurwissenschaften,Informatik,Assistant Prof,2014,6.0,5.0,83.3
Ingenieurwissenschaften,Informatik,Assistant Prof,2015,4.0,3.0,75.0
Ingenieurwissenschaften,Informatik,Assistant Prof,2016,6.0,6.0,100.0
Ingenieurwissenschaften,Informatik,Assistant Prof,2017,6.0,6.0,100.0
Ingenieurwissenschaften,Informatik,Assistant Prof,2018,5.0,5.0,100.0
Ingenieurwissenschaften,Informatik,Assistant Prof,2019,9.0,9.0,100.0
Ingenieurwissenschaften,Informatik,Assistant Prof,2020,15.0,15.0,100.0
Ingenieurwissenschaften,Informatik,Assistant Prof,2021,15.0,15.0,100.0
Ingenieurwissenschaften,Informatik,Assistant Prof,2022,15.0,14.0,93.3
Ingenieurwissenschaften,Informatik,Assistant Prof,2023,15.0,14.0,93.3
Ingenieurwissenschaften,Informatik,Assistant Prof,2024,17.0,16.0,94.1
Ingenieurwissenschaften,Informatik,Assistant Prof,2025,15.0,14.0,93.3
Ingenieurwissenschaften,Materialwiss.,Full Prof,2006,7.0,6.0,85.7
Ingenieurwissenschaften,Materialwiss.,Full Prof,2007,8.0,7.0,87.5
Ingenieurwissenschaften,Materialwiss.,Full Prof,2008,7.0,7.0,100.0
Ingenieurwissenschaften,Materialwiss.,Full Prof,2009,7.0,6.0,85.7
Ingenieurwissenschaften,Materialwiss.,Full Prof,2010,9.0,8.0,88.9
Ingenieurwissenschaften,Materialwiss.,Full Prof,2011,10.0,9.0,90.0
Ingenieurwissenschaften,Materialwiss.,Full Prof,2012,10.0,8.0,80.0
Ingenieurwissenschaften,Materialwiss.,Full Prof,2013,12.0,10.0,83.3
Ingenieurwissenschaften,Materialwiss.,Full Prof,2014,14.0,12.0,85.7
Ingenieurwissenschaften,Materialwiss.,Full Prof,2015,14.0,11.0,78.6
Ingenieurwissenschaften,Materialwiss.,Full Prof,2016,13.0,11.0,84.6
Ingenieurwissenschaften,Materialwiss.,Full Prof,2017,13.0,10.0,76.9
Ingenieurwissenschaften,Materialwiss.,Full Prof,2018,12.0,9.0,75.0
Ingenieurwissenschaften,Materialwiss.,Full Prof,2019,13.0,10.0,76.9
Ingenieurwissenschaften,Materialwiss.,Full Prof,2020,12.0,9.0,75.0
